Rank,Shots pg,Discipline,Possession,PassSuccess,AerialsWon,Rating,W,D,L,GF,GA,GD,Points
3,16.1,682,55.7,83.8,19.8,7.15,22,9,7,71,36,35,75
2,17.6,772,57,84.6,15.9,7.07,24,7,7,83,38,45,79
1,14.8,734,54.1,83.2,18.6,7.06,26,9,3,73,32,41,87
4,13.5,645,58.8,85.1,15.8,6.99,20,10,8,62,37,25,70
7,13.4,573,51.9,79.7,16.9,6.91,18,6,14,54,33,21,60
6,15.5,663,54.4,82.8,15,6.9,18,8,12,52,48,4,62
5,13.9,794,55.3,81.2,16,6.89,19,7,12,58,53,5,64
9,13.2,821,50.2,77.5,24.4,6.87,15,9,14,48,45,3,54
8,11.2,485,50.7,82.1,14.4,6.86,16,8,14,46,49,-3,56
12,12.9,642,46.7,74.6,22.9,6.85,12,11,15,44,47,-3,47
14,12,504,44.8,71.1,23.4,6.84,11,8,19,46,55,-9,41
10,11.6,634,42.7,69.4,23.7,6.83,13,9,16,47,51,-4,48
11,12.7,662,53.6,82.5,15.3,6.82,12,11,15,48,50,-2,47
19,11.3,642,44,70.4,25.1,6.79,7,12,19,28,53,-25,33
13,10.8,643,44.9,75,17.2,6.77,11,11,16,38,51,-13,44
20,14.1,753,46.3,70.8,21.7,6.77,8,6,24,42,73,-31,30
18,11.3,736,45.6,76.5,21.9,6.75,8,11,19,33,51,-18,35
16,10.7,942,46.2,76.1,15.3,6.75,7,17,14,31,53,-22,38
15,12.3,657,48.1,76.9,17.7,6.74,10,9,19,40,63,-23,39
17,11,707,49.1,79,18.5,6.69,10,8,20,31,57,-26,3
